lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.51275996-74.2389556,1910s,1,40.51275996,-74.2389556,ENGINE 151
40.54309471-74.14740346,1950s,1,40.54309471,-74.14740346,LADDER 82
40.54309471-74.14740346,1960s,2,40.54309471,-74.14740346,LADDER 82
40.57661506-73.97610022,1900s,1,40.57661506,-73.97610022,"BATTALION 43, ENGINE 245"
40.57661506-73.97610022,1920s,1,40.57661506,-73.97610022,"BATTALION 43, ENGINE 245"
40.57661506-73.97610022,1930s,1,40.57661506,-73.97610022,"BATTALION 43, ENGINE 245"
40.57776934-73.99299503,1950s,1,40.57776934,-73.99299503,LADDER 166
40.58072437-73.83811004,1940s,1,40.58072437,-73.83811004,"ENGINE 268, LADDER 137"
40.58072437-73.83811004,1970s,1,40.58072437,-73.83811004,"ENGINE 268, LADDER 137"
40.58425988-73.95938498,1940s,1,40.58425988,-73.95938498,ENGINE 246
40.58637304-73.81630482,1900s,1,40.58637304,-73.81630482,ENGINE 266
40.59067037-74.10056898,1920s,2,40.59067037,-74.10056898,ENGINE 159
40.59067037-74.10056898,1950s,2,40.59067037,-74.10056898,ENGINE 159
40.59357474-73.77916437,1940s,2,40.59357474,-73.77916437,LADDER 121
40.59357474-73.77916437,1970s,1,40.59357474,-73.77916437,LADDER 121
40.59357474-73.77916437,1990s,1,40.59357474,-73.77916437,LADDER 121
40.59667317-74.06983971,1940s,2,40.59667317,-74.06983971,ENGINE 161
40.59786739-74.18047272,1960s,1,40.59786739,-74.18047272,SQUAD 8
40.59844589-73.96197944,1940s,1,40.59844589,-73.96197944,LADDER 153
40.59844589-73.96197944,1970s,2,40.59844589,-73.96197944,LADDER 153
40.59896455-73.98831042,1890s,1,40.59896455,-73.98831042,ENGINE 253
40.59896455-73.98831042,1940s,1,40.59896455,-73.98831042,ENGINE 253
40.60228383-73.93518827,1930s,2,40.60228383,-73.93518827,ENGINE 321
40.60474621-73.75209166,1920s,1,40.60474621,-73.75209166,LADDER 134
40.60474621-73.75209166,1960s,1,40.60474621,-73.75209166,LADDER 134
40.60474621-73.75209166,1970s,1,40.60474621,-73.75209166,LADDER 134
40.60605021-74.00347027,1940s,1,40.60605021,-74.00347027,"BATTALION 42, ENGINE 243"
40.60605021-74.00347027,1970s,1,40.60605021,-74.00347027,"BATTALION 42, ENGINE 243"
40.60937985-73.95905491,1900s,1,40.60937985,-73.95905491,"BATTALION 33, ENGINE 276, LADDER 156"
40.60937985-73.95905491,1920s,1,40.60937985,-73.95905491,"BATTALION 33, ENGINE 276, LADDER 156"
40.60937985-73.95905491,1950s,2,40.60937985,-73.95905491,"BATTALION 33, ENGINE 276, LADDER 156"
40.60937985-73.95905491,1960s,1,40.60937985,-73.95905491,"BATTALION 33, ENGINE 276, LADDER 156"
40.60937985-73.95905491,1970s,5,40.60937985,-73.95905491,"BATTALION 33, ENGINE 276, LADDER 156"
40.61165148-74.07040745,1910s,1,40.61165148,-74.07040745,BATTALION 21
40.61213394-73.97915657,1960s,1,40.61213394,-73.97915657,LADDER 172
40.61425175-74.15810784,1970s,1,40.61425175,-74.15810784,ENGINE 166
40.61525302-74.13067789,2000s,1,40.61525302,-74.13067789,ENGINE 163
