FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Engine 1/Ladder 24,142 West 31 Street,Manhattan,10001,40.74849695,-73.9911243,105,3,101,1015173,1008060066,Midtown-Midtown South
Engine 9/Ladder 6,75 Canal Street,Manhattan,10002,40.71540275,-73.99283007,103,1,16,1003898,1003000030,Chinatown
Battalion 4/Engine 15/Ladder 18,25 Pitt Street,Manhattan,10002,40.71652152,-73.98391545,103,1,12,1004078,1003420060,Lower East Side
Engine 5,340 East 14 Street,Manhattan,10003,40.73142525,-73.98345244,103,2,40,1006520,1004550028,East Village
Battalion 6/Ladder 3,108 East 13 Street,Manhattan,10003,40.73310787,-73.98942232,103,2,42,1009010,1005580011,East Village
Engine 14,14 East 18 Street,Manhattan,10003,40.73795749,-73.9909999,105,2,52,1016141,1008460066,Hudson Yards-Chelsea-Flatiron-Union Square
Engine 4/Ladder 15,42 South Street,Manhattan,10005,40.70378834,-74.00772267,101,1,7,1000867,1000350001,Battery Park City-Lower Manhattan
Engine 10/Ladder 10,124 Liberty Street,Manhattan,10006,40.70983075,-74.01257208,101,1,13,1075700,1000520022,Battery Park City-Lower Manhattan
Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,100 Duane Street,Manhattan,10007,40.71536817,-74.0061944,101,1,33,1001647,1001500025,SoHo-TriBeCa-Civic Center-Little Italy
Engine 28/Ladder 11,222 East 2 Street,Manhattan,10009,40.72185329,-73.98252586,103,2,2202,1004608,1003850058,Lower East Side
Battalion 7/Engine 3/Ladder 12,150 West 19 Street,Manhattan,10011,40.74116986,-73.99687709,104,3,87,1014724,1007940066,Hudson Yards-Chelsea-Flatiron-Union Square
Division 1/Ladder 20,253 Lafayette Street,Manhattan,10012,40.72294945,-73.9965184,102,1,43,1007523,1004950007,SoHo-TriBeCa-Civic Center-Little Italy
Engine 33/Ladder 9,42 Great Jones Street,Manhattan,10012,40.72697848,-73.99251397,102,1,5502,1008526,1005310049,West Village
Ladder 8,14 N. Moore Street,Manhattan,10013,40.71955676,-74.00661884,101,1,33,1002150,1001890035,SoHo-TriBeCa-Civic Center-Little Italy
Engine 55,363 Broome Street,Manhattan,10013,40.71983863,-73.99575894,102,1,41,1066722,1004700012,SoHo-TriBeCa-Civic Center-Little Italy
Battalion 2/Engine 24/Ladder 5,227 Sixth Avenue,Manhattan,10014,40.72803263,-74.00342907,102,3,37,1080044,1005200037,SoHo-TriBeCa-Civic Center-Little Italy
Squad 18,132 West 10 Street,Manhattan,10014,40.73443386,-74.00035817,102,3,71,1010686,1006100051,West Village
Marine 1,1 Little West 12th St North River,Manhattan,10014,40.73959751,-74.00578088,102,3,79,1080224,1006280001,West Village
Engine 16/Ladder 7,234 East 29 Street,Manhattan,10016,40.74169309,-73.97888335,106,2,66,1019903,1009090035,Murray Hill-Kips Bay
Engine 21,238 East 40 Street,Manhattan,10016,40.74866417,-73.97400415,106,4,88,1020385,1009200042,Turtle Bay-East Midtown
Engine 26,220 West 37 Street,Manhattan,10018,40.75313272,-73.99034944,105,3,109,1014447,1007860061,Midtown-Midtown South
Engine 34/Ladder 21,440 West 38th Street,Manhattan,10018,40.75653741,-73.99650565,104,3,111,1012982,1007350061,Hudson Yards-Chelsea-Flatiron-Union Square
Engine 23,215 W 58th Street,Manhattan,10019,40.76677071,-73.98030868,105,4,137,1024915,1010300023,Midtown-Midtown South
Engine 44,221 East 75 Street,Manhattan,10021,40.77150264,-73.95811608,108,4,134,1044059,1014300010,Lenox Hill-Roosevelt Island
